,EnglishUS,Russian,German,French,Spanish,Polish,Turkish,BrazilianPortugal,Korean,Japanese,ChineseSimp
poq.armor.suffix.resist_blunt.1.tooltip,of Ablative Resistance,Абляционного сопротивления,von Ablative Resistance,de Résistance Ablative,de Resistencia Ablativa,oporu Ablatywnego,Ablatif Direnç,da Resistência Ablativa,의 박탈 저항,の奪取抵抗,的消耗抵抗
poq.armor.suffix.resist_blunt.2.tooltip,of Adaptive Camouflage,Адаптивного камуфляжа,von Adaptivem Camouflage,de Camouflage Adaptative,de Camuflaje Adaptativo,Adaptacyjnego Kamuflażu,Adaptif Kamuflaj,da Camuflagem Adaptativa,의 적응형 위장,のアダプティブカモフラージュ,的自适应伪装
poq.armor.suffix.resist_blunt.3.tooltip,of Kinetic Absorption,Кинетического поглощения,von Kinetischer Absorption,d'Absorption Cinétique,de Absorción Cinética,Absorpcji Kinetycznej,Kinetik Absorpsiyon,da Absorção Cinética,의 운동 에너지 흡수,の運動吸収,的动能吸收
poq.armor.suffix.resist_blunt.4.tooltip,of the Bulwark,Оплота,von der Bastei,du Bastion,del Bastión,Bastionu,Siper,do Bastião,의 방패,のバスティオン,的堡垒
poq.armor.suffix.resist_blunt.5.tooltip,of Imperial Guard,Имперской гвардии,von der Imperialen Garde,de la Garde Impériale,de la Guardia Imperial,Imperialnej Gwardii,İmparatorluk Muhafızı,da Guarda Imperial,의 제국 경비대,のインペリアルガード,的帝国卫队
poq.armor.suffix.resist_pierce.1.tooltip,of Bio-Hazard Containment,Сдерживания биологической опасности,von Biogefahren-Eindämmung,de Contention Biologique,de Contención de Bio-Riesgos,Ograniczenia Zagrożeń Biologicznych,Biyolojik Tehlike Kapsama,do Contenção de Bio-Risco,의 생물 위험 통제,のバイオハザード封じ込め,的生物危害控制
poq.armor.suffix.resist_pierce.2.tooltip,of Armored Might,Бронированной мощи,von Gepanzertem Können,de Puissance Blindée,de Poder Blindado,Zbrojnej Potęgi,Zırhlı Güç,do Poder Blindado,의 장갑의 힘,の装甲力,的装甲力量
poq.armor.suffix.resist_pierce.3.tooltip,of Nanite Repair,Нанитного ремонта,von Naniten-Reparaturen,de Réparation par Nanites,de Reparación por Nanites,Naprawy Nanitowej,Nanite Onarımı,da Reparação de Nanites,의 나노복구,のナノ修復,的纳米修复
poq.armor.suffix.resist_pierce.4.tooltip,of the Crusader,Крестоносца,von den Kreuzfahrern,du Croisé,del Cruzado,Krzyżowca,Haçlı,do Cruzado,의 십자군,のクルセイダー,的十字军
poq.armor.suffix.resist_pierce.5.tooltip,of Phantom Invisibility,Фантомной невидимости,von Phantom-Invisibility,de l'Invisibilité Fantôme,de Invisibilidad Fantasma,Niewidzialności Fantoma,Hayalet Görünmezliği,da Invisibility Fantasmal,의 유령 투명성,のファントム透明性,的幽灵隐形
poq.armor.suffix.resist_lacer.1.tooltip,of Combat Readiness,Боевой готовности,von Kamp readiness,de Préparation au Combat,de Preparación para el Combate,Gotowości do Walki,Savaş Hazırlığı,da Prontidão para Combate,의 전투 준비 태세,の戦闘準備,的战斗准备
poq.armor.suffix.resist_lacer.2.tooltip,of Cyber Security,Кибербезопасности,von Cyber-Sicherheit,de Sécurité Cybernétique,de Seguridad Cibernética,Cyberbezpieczeństwa,Siber Güvenlik,da Segurança Cibernética,의 사이버 보안,のサイバーセキュリティ,的网络安全
poq.armor.suffix.resist_lacer.3.tooltip,of Optimized Combat,Оптимизированного боя,von Optimiertem Kampf,de Combat Optimisé,de Combate Optimizado,Optymalnej Walki,Optimize Edilmiş Savaş,do Combate Otimizado,의 최적화된 전투,の最適化された戦闘,的优化战斗
poq.armor.suffix.resist_lacer.4.tooltip,of the Defender,Защитника,von dem Verteidiger,du Défenseur,del Defensor,Obrońcy,Savunucu,do Defensor,의 수호자,の守護者,的捍卫者
poq.armor.suffix.resist_lacer.5.tooltip,of the Aegis,Эгиды,von der Aegis,de l'Aegis,de la Aegis,Aegis,Aegis,da Égide,의 에이지스,のエイジス,的埃基斯
poq.armor.suffix.resist_fire.1.tooltip,of Composite Integrity,Композитной целостности,von Komposit-Integrität,d'Intégrité Composite,de Integridad Compuesta,Integralności Kompozytowej,Kompozit Bütünlük,da Integridade Composta,의 복합체적 완전성,の複合体の完全性,的复合完整性
poq.armor.suffix.resist_fire.2.tooltip,of Energy Dissipation,Рассеивания энергии,von Energie-Dissipation,de Dissipation d'Énergie,de Disipación de Energía,Dysypacji Energii,Enerji Dağıtımı,da Dissipação de Energia,의 에너지 소산,のエネルギー散逸,的能量耗散
poq.armor.suffix.resist_fire.3.tooltip,of Power Amplification,Усиления мощности,von Leistungs-Ampifizierung,d'Amplification de Puissance,de Amplificación de Potencia,Wzmocnienia Mocy,Güç Artırımı,da Amplificação de Poder,의 힘 증폭,の力の増幅,的功率放大
poq.armor.suffix.resist_fire.4.tooltip,of the Guardian,Стража,von dem Wächter,du Gardien,del Guardián,Strażnika,Koruyucu,do Guardião,의 수호자,のガーディアン,的守护者
poq.armor.suffix.resist_fire.5.tooltip,of the Bastion,Бастиона,von der Bastion,de la Bastion,del Bastión,Bastionu,Bastion,do Bastião,의 요새,のバスチオン,的堡垒
poq.armor.suffix.resist_beam.1.tooltip,of Enhanced Protection,Усиленной защиты,von Verbesserter Schutz,de Protection Améliorée,de Protección Mejorada,Wzmocnionej Ochrony,Geliştirilmiş Koruma,da Proteção Aprimorada,의 향상된 보호,の強化された保護,的增强保护
poq.armor.suffix.resist_beam.2.tooltip,of Exo-Durability,Экзопрочности,von Exo-Durabilität,d'Exo-Durabilité,de Exo-Durabilidad,Exo-Trwałości,Exo-Dayanıklılık,da Exo-Durabilidade,의 외부 내구성,のエクソ耐久性,的外部耐用性
poq.armor.suffix.resist_beam.3.tooltip,of Reactive Plating,Реактивной брони,von Reaktiver Plattierung,de Revêtement Réactif,de Placas Reactivas,Reaktywnych Płytek,Reaktif Kaplama,da Placa Reativa,의 반응성 표면,のリアクティブプレート,的反应装甲
poq.armor.suffix.resist_beam.4.tooltip,of the Warden,Хранителя,von dem Wächter,du Gardien,del Guardián,Stróża,Bekçi,do Guardião,의 워든,のウォーデン,的看守
poq.armor.suffix.resist_beam.5.tooltip,of the Dreadnought,Дредноута,von der Dreadnought,du Dreadnought,del Dreadnought,Dreadnoughtu,Dreadnought,do Dreadnought,의 드레드노트,のドreadnought,的无畏舰
poq.armor.suffix.resist_shock.1.tooltip,of Environmental Sealing,Герметизации окружающей среды,von Umweltversiegelung,de Scellement Environnemental,de Sellado Ambiental,Uszczelnień Środowiskowych,Çevresel mühürleme,da Vedação Ambiental,의 환경 봉인,の環境封じ,的环境密封
poq.armor.suffix.resist_shock.2.tooltip,of Gravitational Shielding,Гравитационного экранирования,von Gravitationsschildung,de Blindage Gravitational,de Blindaje Gravitacional,Osłony Grawitacyjnej,Yer çekimi Kalkanı,do Blindagem Gravitacional,의 중력 방패,の重力シールド,的引力护盾
poq.armor.suffix.resist_shock.3.tooltip,of Sonic Dampening,Звукопоглощения,von Sonic Dämpfung,d'Amortissement Sonique,de Atenuación Sónica,Tłumienia Akustycznego,Ses Dampingi,da Atenuação Sônica,의 소리 억제,の音響減衰,的声波消减
poq.armor.suffix.resist_shock.4.tooltip,of Atlas's Burden,Бремени Атласа,von Atlas' Last,du Fardeau d'Atlas,de la Carga de Atlas,Brzemienia Atlasa,Atlas'ın Yükü,do Fardo de Atlas,의 아틀라스의 짐,のアトラスの負担,的阿特拉斯的重担
poq.armor.suffix.resist_shock.5.tooltip,of the Indomitable,Несокрушимого,von dem Unbezwingbaren,de l'Indomptable,del Indomable,Niezłomnego,Yenilmez,do Indomável,의 굴하지 않는,の不屈の,的不可征服
poq.armor.suffix.resist_poison.1.tooltip,of Fortification,Фортификации,von Fortifikation,de Fortification,de Fortificación,Umocnienia,Tahkimat,da Fortificação,의 요새화,の強化,的加强
poq.armor.suffix.resist_poison.2.tooltip,of Infiltrator,Инфильтратора,von Infiltrator,d'Infiltrateur,de Infiltrador,Infiltratora,Sızma,do Infiltrador,의 침투자,のインフィルトレーター,的渗透者
poq.armor.suffix.resist_poison.3.tooltip,of Stealth Operations,Скрытных операций,von Tarnoperationen,d'Opérations de Discrétion,de Operaciones de Sigilo,Operacji Stealth,Gizlilik Operasyonları,das Operações de Sombra,의 은신 작업,のステルス作戦,的隐蔽行动
poq.armor.suffix.resist_poison.4.tooltip,of Colossal Strength,Колоссальной силы,von Kolossaler Stärke,de Force Colossale,de Fuerza Colosal,Kolosalnej Siły,Koca Güç,da Força Colossal,의 거대한 힘,のコロッサルストレングス,的巨力
poq.armor.suffix.resist_poison.5.tooltip,of the Juggernaut,Джаггернаута,von dem Juggernaut,du Juggernaut,del Juggernaut,Juggernauta,Juggernaut,do Juggernaut,의 저거너트,のジャガーノート,的巨大角色
poq.armor.suffix.resist_cold.1.tooltip,of Hazmat Safeguard,Защиты от опасных материалов,von Hazmat-Schutz,de Protection Hazmat,de Protección Hazmat,Ochrony Hazardowej,Tehlikeli Madde Koruması,da Proteção Hazmat,의 해저드 매트릭스 보호,のハザマット安全,的危害物质防护
poq.armor.suffix.resist_cold.2.tooltip,of Ironclad Will,Железной воли,von Eiserner Willenskraft,de Volonté de Fer,de Voluntad de Hierro,Żelaznej Woli,Demir irade,da Vontade Inabalável,의 꺾이지 않는 의지,のアイアンワークス,的坚定意志
poq.armor.suffix.resist_cold.3.tooltip,of Tactical Superiority,Тактического превосходства,von Taktischer Überlegenheit,de Supériorité Tactique,de Superioridad Táctica,Doskonałości Taktycznej,Taktiksel Üstünlük,da Superioridade Tática,의 전술적 우위,の戦術的優位性,的战术优势
poq.armor.suffix.resist_cold.4.tooltip,of Hyper-Density,Гиперплотности,von Hyper-Dichte,d'Hypers densité,de Hiper-Densidad,Hiper-Gęstości,Hiper-Densite,da Hiper-Densidade,의 초밀도,のハイパー密度,的超密度
poq.armor.suffix.resist_cold.5.tooltip,of the Last Stand,Последнего рубежа,von dem Letzten Widerstand,de la Dernière Position,de la Última Batalla,Ostatecznego Stoiska,Son Direniş,do Último Resistir,의 마지막 저항,の最後の抵抗,的最后据守
poq.armor.suffix.weight.1.tooltip,of the Aero-Frame,Аэрокаркаса,von dem Aero-Rahmen,du Cadre Aéro,del Aero-Cuerpo,Aero-Ramy,Aero-Kasa,do Aero-Quadro,의 항공 프레임,のエアロフレーム,的航空框架
poq.armor.suffix.weight.2.tooltip,of the Synthweave,Синтплетения,von der Synthweave,du Synthweave,del Tejido Sintético,Synthweave,Sentetik Doku,do Synthweave,의 신스위브,のシンセウェブ,的合成织物
poq.armor.suffix.weight.3.tooltip,of the Grav-Reduced,Пониженной гравитации,von dem Grav-Reduziert,du Préférentiel à la Gravité,del Gravitatorio Reducido,Zredukowanego Grawitacyjnie,Yer çekimini Azaltılmış,do Grav-Reduzido,의 중력 감소,の重力軽減,的引力减弱
poq.armor.suffix.weight.4.tooltip,of the Quantum-Light,Квантовой легкости,von dem Quantum-Light,de la Lumière Quantique,de la Luz Cuántica,Kwantowego Światła,Quantum Light,da Luz Quântica,의 양자빛,の量子光,的量子光
poq.armor.suffix.weight.5.tooltip,of the Void-Step,Пустотного шага,von dem Void-Step,du Pas du Vide,del Paso del Vacío,Kroku Pustki,Boşluk Adımı,do Passo do Vazio,의 텅 빈 단계,のヴォイドステップ,的空虚步伐
poq.armor.suffix.max_durability.1.tooltip,of the Reinforced Plate,Усиленной пластины,von der Verstärkten Platte,de la Plaque Renforcée,de la Placa Reforzada,Wzmocnionej Płyty,Güçlendirilmiş Plaka,da Placa Reforçada,의 강화된 판,の補強プレート,的加固板
poq.armor.suffix.max_durability.2.tooltip,of the Impact-Hardened,Ударопрочности,von der Impact-Härte,de la Résistance aux Chocs,del Endurecido por Impacto,Utwardzonego Uderzeniem,Darbe Sertleşmiş,do Duro Impacto,의 강한 충격,の耐衝撃性,的抗冲击性
poq.armor.suffix.max_durability.3.tooltip,of the Molecular Bond,Молекулярной связи,von dem Molekular-Bind,de Liaison Moléculaire,del Vínculo Molecular,Wiązania Molekularnego,Moleküler Bağ,da Ligação Molecular,의 분자 결합,の分子結合,的分子键
poq.armor.suffix.max_durability.4.tooltip,of the Neutron-Forged,Нейтронной ковки,von dem Neutron-Geschmiedet,du Forgé par Neutrons,del Forjado por Neutrones,Wykutego przez Neutrony,Nötron-Dökülen,do Neutrão Forjado,의 중성자 포지션,の中性子硬化,的中子锻造
poq.armor.suffix.max_durability.5.tooltip,of the Stellar Core,Звездного ядра,von dem Stellar-Kern,du Noyau Stellaire,del Núcleo Estelar,Stelarnego Rdzenia,Yıldız Çekirdeği,do Núcleo Estelar,의 별의 핵,の恒星コア,的恒星核心
poq.weapon.suffix.weight.1.tooltip,of the Balanced Grip,Сбалансированного хвата,von der Ausgeglichenen Griff,de Prise Équilibrée,del Agarre Equilibrado,Zrównoważonego Chwytu,Denge Gribi,da Empunhadura Equilibrada,의 균형 잡힌 그립,のバランスグリップ,的平衡握持
poq.weapon.suffix.weight.2.tooltip,of the Ergonomic Frame,Эргономичного каркаса,von dem Ergonomischen Rahmen,du Cadre Ergonomique,del Marco Ergonómico,Ergonomicznej Ramy,Ergonomik Çerçeve,da Estrutura Ergonômica,의 인체공학 구조,のエルゴノミックフレーム,的符合人体工程学的框架
poq.weapon.suffix.weight.3.tooltip,of the Zero-G Alloy,Нуль-Г сплава,von der Null-G-Aluminium,d'Alliage Zéro-G,de la Aleación de Gravedad Cero,Stopu Zero-G,Zero-G Alaşımı,da Liga Zero-G,의 제로-G 합금,のゼロG合金,的零重力合金
poq.weapon.suffix.weight.4.tooltip,of the Phantom Touch,Фантомного касания,von dem Phantom-Berührung,du Contact Fantôme,del Toque Fantasma,Dotyku Fantoma,Hayalet Teması,do Toque Fantasma,의 유령 같은 터치,のファントムタッチ,的幽灵触感
poq.weapon.suffix.weight.5.tooltip,of the Void-Drift,Дрейфа Пустоты,von dem Void-Drift,de Dérive du Vide,de la Deriva del Vacío,Dryfu Pustki,Boşluk Sörfü,do Vazio-Passeio,의 공허 이동,のボイドドリフト,的虚空漂流
poq.weapon.suffix.max_durability.1.tooltip,of the Adamant Core,Адамантового ядра,von dem Adamant-Kern,du Noyau Adamantin,del Núcleo Adamantino,Adamantowego Rdzenia,Kırılmaz Çekirdek,do Núcleo Adamante,의 아다만타이트 핵,のアダマンティウムコア,的坚固核心
poq.weapon.suffix.max_durability.2.tooltip,of the Resilient Matrix,Эластичной матрицы,von der Resilienten Matrix,de Matrice Résiliente,de la Matriz Resiliente,Odpornej Matrycy,Dayanıklı Matris,da Matriz Resiliente,의 복원력 거듭남,のレジリエントマトリックス,的弹性矩阵
poq.weapon.suffix.max_durability.3.tooltip,of the Plasma-Sealed,Плазменной герметизации,von dem Plasma-Dicht,de Scellage Plasma,de Sellado de Plasma,Plazmowego Uszczelnienia,Plazma Mühürlü,do Selado de Plasma,의 플라즈마 밀폐,のプラズマシール,的等离子体密封
poq.weapon.suffix.max_durability.4.tooltip,of the Chronal Weave,Хронального плетения,von der Chronal-Weave,de Tissage Chronal,del Tejido Cronal,Wytwarzania Chronalnego,Zamansal Dokuma,da Tecido Cronal,의 크로날 직물,のクロノルール,的时间织物
poq.weapon.suffix.max_durability.5.tooltip,of the Aetheric Shell,Эфирной оболочки,von der Ätherischen Schale,de Coquille Éthérique,de la Concha Etérica,Aetherycznej Powłoki,Eterik Kabuk,da Casca Aérea,의 에테르 껍데기,のエーテリックシェル,的以太壳
poq.weapon.suffix.damage.1.tooltip,of Calibrated Force,Калиброванной силы,von Kalibrierten Kraft,de Force Calibrée,de Fuerza Calibrada,Skalibrowanej Siły,Kalibre Edilmiş Güç,da Força Calibrada,의 칼리브레이트 힘,のキャリブレーション,的校准力量
poq.weapon.suffix.damage.2.tooltip,of Armor Penetration,Бронепробития,von Rüstungsdurchdringung,de Pénétration d'Armure,de Penetración de Armadura,Penetracji Pancerza,Zırh Penetrasyonu,da Penetração de Armaduras,의 방어구 관통,のアーマーペネトレーション,的装甲穿透
poq.weapon.suffix.damage.3.tooltip,of High Impact,Мощного удара,von Hoher Wirkung,d'Impact Élevé,de Alto Impacto,Wysokiego Uderzenia,Yüksek Etki,do Alto Impacto,의 높은 충격,の高衝撃,的高冲击
poq.weapon.suffix.damage.4.tooltip,of Devastating Force,Разрушительной силы,von Verheerender Kraft,de Force Dévastatrice,de Fuerza Devastadora,Rujnującej Siły,Yıkıcı Güç,da Força Devastadora,의 재앙의 힘,の壊滅的な力,的毁灭力量
poq.weapon.suffix.damage.5.tooltip,of Annihilation,Аннигиляции,von Vernichtung,d'Annihilation,de Aniquilación,Anihilacji,Yok Olma,da Aniquilação,의 전멸,の完全破壊,的消灭
poq.weapon.suffix.crit_damage.1.tooltip,of Basic Overload,Базовой перегрузки,von Grundüberlastung,de Surcharge de Base,de Sobrecarga Básica,Podstawowego Przeładowania,Temel Aşırı Yük,do Sobrecarga Básica,의 기본 과부하,の基本オーバーロード,的基本过载
poq.weapon.suffix.crit_damage.2.tooltip,of Critical Overload,Критической перегрузки,von Kritischer Überlastung,de Surcharge Critique,de Sobrecarga Crítica,Krytycznej Przeładowania,Kritik Aşırı Yük,da Sobrecarga Crítica,의 치명적인 과부하,のクリティカルオーバーロード,的临界过载
poq.weapon.suffix.crit_damage.3.tooltip,of Critical Mass,Критической массы,von Kritischer Masse,de Masse Critique,de Masa Crítica,Krytycznej Masie,Kritik Kütle,da Massa Crítica,의 임계 질량,のクリティカルマス,的临界质量
poq.weapon.suffix.crit_damage.4.tooltip,of Precision Strike,Точного удара,von Präzisionsschlag,de Frappe de Précision,de Golpe de Precisión,Precyzyjnego Uderzenia,Hassas Vuruş,do Golpe de Precisão,의 정밀 스트라이크,の精密打撃,的精准打击
poq.weapon.suffix.crit_damage.5.tooltip,of Lethal Strike,Смертельного удара,von Tödlichem Schlag,de Frappe Mortelle,de Golpe Letal,Śmiertelnego Uderzenia,Ölümcül Vuruş,do Golpe Letal,의 치명적 스트라이크,の致命的打撃,的致命一击
poq.weapon.suffix.accuracy.1.tooltip,of Targeting Assist,Помощи в прицеливании,von Zielhilfe,d'Assistance de Ciblage,de Asistencia de Apuntado,Pomocy w Celu,Hedefleme Yardımı,da Assistência de Alvo,의 목표 보조,のターゲティングアシスト,的目标辅助
poq.weapon.suffix.accuracy.2.tooltip,of Predictive Algorithms,Предиктивных алгоритмов,von Vorhersage-Algorithmen,d'Algorithmes Prédictifs,de Algoritmos Predictivos,Algorytmów Predykcyjnych,Öngörücü Algoritmalar,dos Algoritmos Preditivos,의 예측 알고리즘,の予測アルゴリズム,的预测算法
poq.weapon.suffix.accuracy.3.tooltip,of Gyro-Stabilization,Гиростабилизации,von Gyro-Stabilisierung,de Gyro-Stabilisation,de Giroscopio de Estabilización,Stabilizacji Żyroskopowej,Jiroskopik Stabilizasyon,da Estabilização Giroscópica,의 자이로 안정성,のジャイロ安定,的陀螺稳定
poq.weapon.suffix.accuracy.4.tooltip,of Guided Trajectory,Управляемой траектории,von Geführter Trajektorie,de Trajectoire Guidée,de Trayectoria Guiada,Kierowanej Trajektorii,Rehberli Yörünge,da Trajetória Guiada,의 유도 궤적,の誘導弾道,的引导轨迹
poq.weapon.suffix.accuracy.5.tooltip,of Near-Absolute Aim,Почти абсолютной точности,von Nahezu-Absolute Zielgenauigkeit,d'Aimant Pratiquement Absolu,de Apuntado Casi Absoluto,Prawie Absolutnego Celowania,Neredeyse Mutlak Hedefleme,da Mira Quase Absoluta,의 거의 절대 조준,のほぼ絶対的な目標,的近乎绝对瞄准
poq.weapon.suffix.scatter_angle.1.tooltip,of Wide Dispersion,Широкого рассеивания,von Breiter Verteilung,de Large Dispersion,de Dispersión Amplia,Szerokiej Dyspozycji,Geniş Dağıtım,da Ampla Dispensão,의 넓은 분산,の広範な分散,的广泛分散
poq.weapon.suffix.scatter_angle.2.tooltip,of Controlled Spread,Контролируемого рассеивания,von Kontrollierter Ausbreitung,de Répartition Contrôlée,de Distribución Controlada,Kontrolowanego Rozprzestrzenienia,Kontrollü Yayılma,da Difusão Controlada,의 제어된 확산,の制御された拡散,的受控扩散
poq.weapon.suffix.scatter_angle.3.tooltip,of Tight Grouping,Кучности,von Engem Gruppieren,de Regroupement Serré,de Agrupamiento Compacto,Zbytecznego Gromadzenia,Sıkı Gruplama,do Agrupamento Apertado,의 긴밀한 그룹,のタイトグルーピング,的紧密分组
poq.weapon.suffix.scatter_angle.4.tooltip,of Focused Emission,Фокусированной эмиссии,von Fokussierter Emission,d'Émission Focalisée,de Emisión Focalizada,Skupionej Emisji,Odaklanmış Emisyon,da Emissão Focada,의 집중 배출,の集中排出,的聚焦排放
poq.weapon.suffix.scatter_angle.5.tooltip,of Pinpoint Convergence,Точечной конвергенции,von Punktgenauer Konvergenz,de Convergence Précise,de Convergencia Precisa,Precyzyjnej Konwergencji,Nokta Konverjansı,da Convergência Precisa,의 정확한 집합,のピンポイント収束,的精确汇聚
